defect_id,product_id,defect_type,defect_date,defect_location,severity,inspection_method,repair_cost,failure_mode,machine_id
DEF-00001,L00002,Power Defect,2026-06-01,Electrical Panel,Critical,Automated,1138.02,PWF,LINE1-M02
DEF-00002,M00003,Power Defect,2026-06-01,Drive Motor,Critical,Ultrasonic,1372.21,PWF,LINE3-M02
DEF-00003,H00004,Power Defect,2026-06-01,VFD Unit,Minor,X-Ray,125.71,PWF,LINE2-M02
DEF-00004,L00013,Power Defect,2026-06-01,Drive Motor,Major,Manual,336.99,PWF,LINE3-M01
DEF-00005,M00035,Power Defect,2026-06-01,VFD Unit,Critical,X-Ray,1382.9,PWF,LINE1-M02
DEF-00006,L00038,Power Defect,2026-06-01,Drive Motor,Major,Manual,744.44,PWF,LINE3-M01
DEF-00007,M00045,Power Defect,2026-06-01,Power Supply,Major,Manual,759.07,PWF,LINE2-M01
DEF-00008,H00058,Power Defect,2026-06-01,Electrical Panel,Critical,X-Ray,2215.91,PWF,LINE3-M01
DEF-00009,M00069,Thermal Defect,2026-06-01,Motor Housing,Critical,Ultrasonic,1536.99,HDF,LINE2-M02
DEF-00010,M00071,Tool Damage,2026-06-01,Tool Tip,Major,Manual,563.42,TWF,LINE2-M02
DEF-00011,M00072,Tool Damage,2026-06-01,Spindle Interface,Minor,X-Ray,169.23,TWF,LINE2-M02
DEF-00012,M00074,Tool Damage,2026-06-01,Spindle Interface,Major,Ultrasonic,452.96,TWF,LINE2-M01
DEF-00013,L00075,Tool Damage,2026-06-01,Tool Holder,Major,Automated,423.55,TWF,LINE2-M02
DEF-00014,L00077,Tool Damage,2026-06-01,Spindle Interface,Major,Automated,279.99,TWF,LINE1-M02
DEF-00015,L00078,Tool Damage,2026-06-01,Tool Tip,Critical,Visual,1229.21,TWF,LINE1-M01
DEF-00016,L00096,Thermal Defect,2026-06-01,Bearing Assembly,Critical,Ultrasonic,1506.33,HDF,LINE2-M01
DEF-00017,L00110,Power Defect,2026-06-01,VFD Unit,Critical,Visual,1302.98,PWF,LINE2-M02
DEF-00018,M00111,Thermal Defect,2026-06-01,Cooling System,Critical,X-Ray,2118.76,HDF,LINE2-M01
DEF-00019,L00114,Power Defect,2026-06-01,Electrical Panel,Critical,Manual,2353.88,PWF,LINE1-M01
DEF-00020,M00132,Power Defect,2026-06-01,VFD Unit,Critical,Ultrasonic,2040.34,PWF,LINE3-M01
DEF-00021,L00152,Power Defect,2026-06-01,VFD Unit,Critical,X-Ray,1805.41,PWF,LINE2-M02
DEF-00022,L00153,Tool Damage,2026-06-01,Cutting Edge,Minor,X-Ray,245.47,TWF,LINE2-M02
DEF-00023,H00156,Tool Damage,2026-06-01,Tool Holder,Critical,Manual,1688.67,TWF,LINE3-M01
DEF-00024,L00157,Structural Stress,2026-06-01,Frame Mount,Critical,Manual,1360.47,OSF,LINE2-M02
DEF-00025,L00159,Structural Stress,2026-06-01,Shaft,Major,Ultrasonic,636.56,OSF,LINE1-M01
DEF-00026,L00160,Tool Damage,2026-06-01,Tool Holder,Major,Automated,355.6,TWF,LINE2-M01
DEF-00027,M00162,Tool Damage,2026-06-01,Tool Tip,Minor,Visual,83.11,TWF,LINE3-M02
DEF-00028,L00163,Tool Damage,2026-06-01,Tool Tip,Critical,Automated,1206.59,TWF,LINE2-M01
DEF-00029,M00164,Tool Damage,2026-06-01,Tool Holder,Critical,Manual,1139.49,TWF,LINE3-M02
